,id,name,country,country_group,type,url,address,program,contribution,expertise,review_status,index
0,1000,3M,,,,,,,,,SUBMITTED,374.0
1,1001,APEC Ocean and Fisheries Working Group (OFWG),,,,,,,,,SUBMITTED,375.0
2,1002,Agence Française de Developpement (AFD),,,,,,,,,SUBMITTED,376.0
3,1003,Airtable,,,,,,,,,SUBMITTED,377.0
4,1004,Algalita Marine Research and Education,,,,,,,,,SUBMITTED,378.0
5,1005,Amazon,,,,,,,,,SUBMITTED,379.0
6,1006,Amcor Limited,,,,,,,,,SUBMITTED,380.0
7,1007,American Beverage Association,,,,,,,,,SUBMITTED,381.0
8,1008,Asia Pacific Economic Cooperation (APEC),,,,,,,,,SUBMITTED,382.0
9,1009,Association of Southeast Asian Nations (ASEAN),,,,,,,,,SUBMITTED,383.0
10,1010,Australian Government,,,,,,,,,SUBMITTED,384.0
11,1011,Australian Government Department of Foreign Affairs and Trade (DFAT),,,,,,,,,SUBMITTED,385.0
12,1012,Australian Government Department of the Environment and Energy (DoEE),,,,,,,,,SUBMITTED,386.0
13,1013,Australian Government's Department of Foreign Affairs and Trade,,,,,,,,,SUBMITTED,387.0
14,1014,Autodesk.Foundation,,,,,,,,,SUBMITTED,388.0
15,1015,Aws,,,,,,,,,SUBMITTED,389.0
16,1016,BNP Paribas,,,,,,,,,SUBMITTED,390.0
17,1017,Baltic Marine Environment Protection Commission (HELCOM),,,,,,,,,SUBMITTED,391.0
18,1018,Baltic Sea Challenge,,,,,,,,,SUBMITTED,392.0
19,1019,Bank Gospodarstwa Krajowego,,,,,,,,,SUBMITTED,393.0
20,1020,Bank of America,,,,,,,,,SUBMITTED,394.0
21,1021,Basel Convention,,,,,,,,,SUBMITTED,395.0
22,1022,Belize Department of the Environment,,,,,,,,,SUBMITTED,396.0
23,1023,Benioff Ocean Initiative,,,,,,,,,SUBMITTED,397.0
24,1024,Berry Global,,,,,,,,,SUBMITTED,398.0
25,1025,Black Sea Commission,,,,,,,,,SUBMITTED,399.0
26,1026,Blue Marine Foundation,,,,,,,,,SUBMITTED,400.0
27,1027,Brazil Ministry of the Environment,,,,,,,,,SUBMITTED,401.0
28,1028,Brazilian Fund for Biodiversity (FUNBIO),,,,,,,,,SUBMITTED,402.0
29,1029,British Plastics Federation,,,,,,,,,SUBMITTED,403.0
30,1030,CVS Health,,,,,,,,,SUBMITTED,404.0
31,1031,Caisse Des Dépôts,,,,,,,,,SUBMITTED,405.0
32,1032,California Ocean Protection Council,,,,,,,,,SUBMITTED,406.0
33,1033,Canada's Environment and Climate Change (ECCC),,,,,,,,,SUBMITTED,407.0
34,1034,Canadian Council of Ministers of the Environment,,,,,,,,,SUBMITTED,408.0
35,1035,Canadian Federal Government,,,,,,,,,SUBMITTED,409.0
36,1036,Carrefour,,,,,,,,,SUBMITTED,410.0
37,1037,Cartagena   Convention,,,,,,,,,SUBMITTED,411.0
38,1038,Cassa Depositi e Prestiti,,,,,,,,,SUBMITTED,412.0
39,1039,Centre for Environment Fisheries and Aquaculture Science (Cefas),,,,,,,,,SUBMITTED,413.0
40,1040,Chanel,,,,,,,,,SUBMITTED,414.0
41,1041,Chevron Phillips Chemical,,,,,,,,,SUBMITTED,415.0
